qid,err@3,err@10,ndcg@3,ndcg@10
22939,0.110107421875,0.14018169045448303,1.0,0.7767471075057983
22941,0.304931640625,0.34822380542755127,1.0,0.7207213044166565
22942,0.466064453125,0.5368117690086365,0.629499077796936,0.7803692817687988
22943,0.02083333395421505,0.0762990191578865,0.23463936150074005,0.6846005916595459
22944,0.44921875,0.45745849609375,0.9224036931991577,0.9753714203834534
22945,0.304931640625,0.3712456524372101,1.0,0.9274934530258179
22946,0.05078125,0.07309722900390625,0.5307212471961975,0.7486761212348938
22947,0.304931640625,0.37648171186447144,0.4285714626312256,0.6601203680038452
22948,0.706298828125,0.7096205353736877,0.871160089969635,0.8986995220184326
22949,0.393798828125,0.4552847743034363,0.5977610945701599,0.7642143368721008
22950,0.228759765625,0.28192681074142456,0.6461858153343201,0.650591254234314
22951,0.304931640625,0.3573243319988251,1.0,0.9711670875549316
22952,0.968017578125,0.968039870262146,1.0,0.9070272445678711
22953,0.606689453125,0.637054443359375,1.0,1.0
22954,0.05078125,0.1479116976261139,0.17690707743167877,0.5328047275543213
22955,0.518798828125,0.5485470294952393,1.0,0.9889959096908569
22956,0.518798828125,0.5878744125366211,0.6967307925224304,0.8466587066650391
22957,0.25390625,0.30991774797439575,0.5692896842956543,0.7633172273635864
22958,0.12109375,0.1706342101097107,0.46358197927474976,0.6933363080024719
22959,0.03125,0.0465087890625,0.29608193039894104,0.5988943576812744
22960,0.466064453125,0.541657030582428,0.5450960993766785,0.7238415479660034
22961,0.9507649540901184,0.955402672290802,0.8898733854293823,0.9225640892982483
22962,0.432373046875,0.44049617648124695,0.4040961265563965,0.7141841053962708
22963,0.946533203125,0.9486934542655945,1.0,0.9230446219444275
22964,0.940673828125,0.9484740495681763,0.7038999795913696,0.8307804465293884
22965,0.166259765625,0.22860732674598694,0.5307213068008423,0.7090774178504944
22966,0.110107421875,0.1578953117132187,0.3333333134651184,0.45436739921569824
22967,0.263671875,0.263671875,1.0,1.0
22968,0.304931640625,0.35808858275413513,1.0,0.8138841986656189
22969,0.304931640625,0.3714071214199066,1.0,0.9850161075592041
22970,0.197998046875,0.24245724081993103,0.6871474981307983,0.6321797370910645
22971,0.219970703125,0.24892669916152954,0.5462626218795776,0.6701615452766418
22972,0.146728515625,0.21616286039352417,0.48975956439971924,0.7004413604736328
22973,0.967041015625,0.9675173163414001,0.9284793138504028,0.9832460880279541
22974,0.304931640625,0.35248374938964844,1.0,0.7676010727882385
22975,0.967041015625,0.9675111174583435,0.9284793138504028,0.9739736318588257
22976,0.365234375,0.45847007632255554,0.3236317038536072,0.5939003229141235
22977,0.1875,0.22803635895252228,0.7262287139892578,0.8553627133369446
22978,0.219970703125,0.27317553758621216,0.49370092153549194,0.7139028906822205
22979,0.02083333395421505,0.0685388520359993,0.12103812396526337,0.46833351254463196
22980,0.567138671875,0.6084140539169312,0.7988805174827576,0.8886516690254211
22981,0.110107421875,0.13263797760009766,1.0,1.0
22982,0.1875,0.1875,1.0,1.0
22983,0.260498046875,0.32773834466934204,0.8026120662689209,0.8756632208824158
22984,0.304931640625,0.35199734568595886,1.0,0.9154624938964844
22985,0.150390625,0.20850253105163574,0.5364180207252502,0.7689791917800903
22986,0.9388020634651184,0.942351222038269,0.8911738991737366,0.9156358242034912
22987,0.23828125,0.30881303548812866,0.7039180994033813,0.8172497749328613
22988,0.110107421875,0.1349082738161087,1.0,0.8083972334861755
22989,0.2774251401424408,0.3497011959552765,0.5188971757888794,0.6441982388496399
22990,0.212890625,0.24859619140625,0.67329341173172,0.9128780961036682
22991,0.304931640625,0.3865734934806824,0.49493172764778137,0.7938262224197388
22992,0.956298828125,0.9585512280464172,1.0,0.9929827451705933
22993,0.146728515625,0.22844386100769043,0.48975956439971924,0.75450599193573
22994,0.23828125,0.29133743047714233,0.7039180994033813,0.6182639598846436
22995,0.365234375,0.41296541690826416,0.5741883516311646,0.6343150734901428
22996,0.659423828125,0.6622411012649536,0.6764605641365051,0.6656500101089478
22997,0.962158203125,0.9623956680297852,0.9625431895256042,0.9445939660072327
22998,0.9444172978401184,0.9501199722290039,0.9456308484077454,0.9772995114326477
22999,0.08203125,0.2539191246032715,0.08155369758605957,0.46267208456993103
23000,0.9444172978401184,0.9527400135993958,0.7589633464813232,0.9382323622703552
23001,0.962158203125,0.9626917839050293,0.8420895934104919,0.9150761961936951
23002,0.03125,0.11948922276496887,0.09869397431612015,0.5199589133262634
23003,0.560546875,0.5793474912643433,0.8838695287704468,0.9052760004997253
23004,0.943115234375,0.9500150084495544,0.819014847278595,0.9335665106773376
23005,0.967041015625,0.9672366976737976,1.0,0.9789485335350037
23006,0.567138671875,0.5968374013900757,0.7988805174827576,0.8045793771743774
23007,0.659423828125,0.6629204750061035,0.8254533410072327,0.8543487787246704
23008,0.304931640625,0.3742768466472626,1.0,0.9510906934738159
23009,0.304931640625,0.3695750832557678,0.6151177287101746,0.7206587791442871
23010,0.091796875,0.10552978515625,0.7653606534004211,0.9674680233001709
23011,0.556884765625,0.596521258354187,0.8308104276657104,0.8972622156143188
23012,0.304931640625,0.32342198491096497,1.0,0.9571791887283325
23013,0.466064453125,0.5479245185852051,0.629499077796936,0.8247296810150146
23014,0.2044270783662796,0.3162039816379547,0.3367719352245331,0.6327820420265198
23015,0.05078125,0.08623717725276947,0.5307212471961975,0.6042685508728027
23016,0.110107421875,0.14092978835105896,1.0,0.7752388119697571
23017,0.606689453125,0.642877459526062,0.6509066820144653,0.8286513090133667
23018,0.03125,0.09659282863140106,0.09869397431612015,0.3791584372520447
23019,0.9673665165901184,0.9677676558494568,1.0,0.9814821481704712
23020,0.9444172978401184,0.9498303532600403,0.8315341472625732,0.9233656525611877
23021,0.110107421875,0.19179010391235352,0.20503923296928406,0.5514972805976868
23022,0.0625,0.11158493161201477,0.24207624793052673,0.5129706859588623
23023,0.02083333395421505,0.02083333395421505,0.3065735995769501,0.3065735995769501
23024,0.956298828125,0.9597392678260803,1.0,0.9875937104225159
23025,0.44921875,0.4602246880531311,0.7984848022460938,0.805086076259613
23026,0.08203125,0.08203125,0.9197208285331726,0.9197208285331726
23027,0.304931640625,0.36982083320617676,1.0,1.0
23028,0.2774251401424408,0.3398902416229248,0.4175114035606384,0.5386613607406616
23029,0.304931640625,0.3572825789451599,1.0,0.7807932496070862
23030,0.9507649540901184,0.9539849758148193,0.974961519241333,0.9324793815612793
23031,0.304931640625,0.3366655111312866,1.0,0.8433923721313477
23032,0.2774251401424408,0.34710273146629333,0.8435737490653992,0.858575165271759
23033,0.943115234375,0.9464476108551025,0.819014847278595,0.7857146859169006
23034,0.9444172978401184,0.9452913403511047,0.9456308484077454,0.8938122391700745
23035,0.953369140625,0.9565733671188354,1.0,0.9477676749229431
23036,0.567138671875,0.5697871446609497,1.0,0.9921161532402039
