qid,err@3,err@10,ndcg@3,ndcg@10
22939,0.110107421875,0.14018169045448303,1.0,0.7767471075057983
22941,0.304931640625,0.3569512963294983,1.0,0.7801082134246826
22942,0.567138671875,0.5878309011459351,0.9225797057151794,0.8330830931663513
22943,0.05078125,0.09905082732439041,0.5307212471961975,0.7649544477462769
22944,0.4375,0.4509975016117096,0.8609101176261902,0.9548735618591309
22945,0.304931640625,0.3604632616043091,1.0,0.8607869744300842
22946,0.03125,0.06332206726074219,0.29608193039894104,0.6886007785797119
22947,0.606689453125,0.6264047026634216,1.0,0.8955774903297424
22948,0.703369140625,0.7086409330368042,0.7838867902755737,0.8837904334068298
22949,0.393798828125,0.4586838483810425,0.5977610945701599,0.8247467875480652
22950,0.228759765625,0.27706944942474365,0.6461858153343201,0.638550877571106
22951,0.304931640625,0.3566836714744568,1.0,0.9680730104446411
22952,0.968017578125,0.9680337309837341,1.0,0.8767226934432983
22953,0.606689453125,0.637054443359375,1.0,1.0
22954,0.146728515625,0.21474500000476837,0.48975956439971924,0.6575691103935242
22955,0.374755859375,0.41878628730773926,0.7617307901382446,0.8696802258491516
22956,0.580322265625,0.6110188364982605,0.86592036485672,0.7480367422103882
22957,0.25390625,0.30991774797439575,0.5692896842956543,0.7633172273635864
22958,0.212890625,0.2564602196216583,0.67329341173172,0.8313655257225037
22959,0.0625,0.0769740492105484,0.4692787230014801,0.766972005367279
22960,0.278564453125,0.3516992926597595,0.39664164185523987,0.6269795894622803
22961,0.953369140625,0.9578877091407776,0.912726640701294,0.9199714064598083
22962,0.432373046875,0.4404618442058563,0.4040961265563965,0.7082467675209045
22963,0.9444172978401184,0.9470266699790955,0.9456308484077454,0.8703256249427795
22964,0.940673828125,0.9503172039985657,0.7038999795913696,0.9225161075592041
22965,0.197998046875,0.24854090809822083,0.6871474981307983,0.7272574305534363
22966,0.1106770858168602,0.15574294328689575,0.37429505586624146,0.46026813983917236
22967,0.263671875,0.263671875,1.0,1.0
22968,0.304931640625,0.3530634939670563,1.0,0.8417369723320007
22969,0.304931640625,0.3680547773838043,1.0,0.9783012270927429
22970,0.2774251401424408,0.3235032260417938,0.8435737490653992,0.7206557989120483
22971,0.219970703125,0.24892669916152954,0.5462626218795776,0.6701615452766418
22972,0.146728515625,0.22112594544887543,0.48975956439971924,0.7138888835906982
22973,0.9673665165901184,0.9676457643508911,1.0,1.0
22974,0.304931640625,0.352876752614975,1.0,0.8027553558349609
22975,0.9673665165901184,0.9676412343978882,1.0,0.9915035963058472
22976,0.94140625,0.9501915574073792,0.7200049757957458,0.7774510979652405
22977,0.1875,0.232122540473938,0.7262287139892578,0.9087557792663574
22978,0.110107421875,0.24131961166858673,0.20503923296928406,0.6743215918540955
22979,0.1875,0.20834359526634216,0.7262287139892578,0.8093439340591431
22980,0.580322265625,0.62054842710495,0.86592036485672,0.9221224188804626
22981,0.110107421875,0.13263797760009766,1.0,1.0
22982,0.1875,0.1875,1.0,1.0
22983,0.228759765625,0.301244854927063,0.6461858153343201,0.7948535680770874
22984,0.304931640625,0.3542586863040924,1.0,0.9185869693756104
22985,0.150390625,0.209791898727417,0.5364180207252502,0.7730563879013062
22986,0.939453125,0.9427675604820251,0.8987017273902893,0.9196948409080505
22987,0.23828125,0.31134289503097534,0.7039180994033813,0.8439437747001648
22988,0.110107421875,0.13348287343978882,1.0,0.8030980825424194
22989,0.12109375,0.22863587737083435,0.24055138230323792,0.5593751668930054
22990,0.03125,0.069091796875,0.11699506640434265,0.45995017886161804
22991,0.304931640625,0.4004019796848297,0.49493172764778137,0.8181847929954529
22992,0.956298828125,0.9583749771118164,1.0,0.9704228043556213
22993,0.166259765625,0.2469310164451599,0.5307213068008423,0.8219630122184753
22994,0.23828125,0.3144416809082031,0.7039180994033813,0.6839160919189453
22995,0.556884765625,0.574677050113678,0.9594535827636719,0.7638184428215027
22996,0.633056640625,0.6387335658073425,0.5862115621566772,0.7803159356117249
22997,0.962158203125,0.9624180793762207,0.9625431895256042,0.9511484503746033
22998,0.946533203125,0.9509036540985107,1.0,0.9876139163970947
22999,0.366455078125,0.3710545003414154,0.49644073843955994,0.5497854948043823
23000,0.9444172978401184,0.9527127146720886,0.7589633464813232,0.9369410872459412
23001,0.962158203125,0.9626935720443726,0.8420895934104919,0.9196807742118835
23002,0.02083333395421505,0.12081924825906754,0.07821311801671982,0.5838087797164917
23003,0.560546875,0.5746128559112549,0.8838695287704468,0.8910977244377136
23004,0.943115234375,0.9503164291381836,0.819014847278595,0.9154906868934631
23005,0.967041015625,0.9672631621360779,1.0,0.9921190142631531
23006,0.567138671875,0.603736937046051,0.7988805174827576,0.8589202761650085
23007,0.606689453125,0.6497646570205688,0.6509066820144653,0.8464063405990601
23008,0.304931640625,0.3719862997531891,1.0,0.8922097086906433
23009,0.518798828125,0.5601881742477417,1.0,0.9325368404388428
23010,0.110107421875,0.110107421875,1.0,1.0
23011,0.556884765625,0.5977123379707336,0.8308104276657104,0.9384241104125977
23012,0.304931640625,0.32504576444625854,1.0,0.9357846975326538
23013,0.580322265625,0.6085774302482605,1.0,0.9240856170654297
23014,0.212890625,0.32856714725494385,0.3493700623512268,0.6367273330688477
23015,0.05078125,0.08932650834321976,0.5307212471961975,0.6200500726699829
23016,0.110107421875,0.13828948140144348,1.0,0.7630947232246399
23017,0.956298828125,0.9600479602813721,1.0,0.9881808161735535
23018,0.03125,0.06669296324253082,0.09869397431612015,0.2532337009906769
23019,0.962158203125,0.9625613689422607,0.9625431895256042,0.9554452896118164
23020,0.946533203125,0.9507529735565186,0.8793432712554932,0.9366834759712219
