qid,err@3,err@10,ndcg@3,ndcg@10
22939,0.110107421875,0.13716420531272888,1.0,0.7609655857086182
22941,0.228759765625,0.2979367971420288,0.6461858153343201,0.5920900702476501
22942,0.466064453125,0.5187290906906128,0.629499077796936,0.7473182082176208
22943,0.03125,0.0867156833410263,0.29608193039894104,0.7153751254081726
22944,0.44921875,0.453338623046875,0.9224036931991577,0.9612018465995789
22945,0.304931640625,0.3536401391029358,1.0,0.7667955160140991
22946,0.091796875,0.1053662970662117,0.7653606534004211,0.8843252062797546
22947,0.606689453125,0.6286935210227966,1.0,0.9311863780021667
22948,0.956298828125,0.9593733549118042,1.0,0.9901874661445618
22949,0.304931640625,0.37961632013320923,0.4285714626312256,0.6752479672431946
22950,0.228759765625,0.2774326503276825,0.6461858153343201,0.620570957660675
22951,0.304931640625,0.3566836714744568,1.0,0.9680730104446411
22952,0.968017578125,0.9680436253547668,1.0,0.9378076195716858
22953,0.606689453125,0.637054443359375,1.0,1.0
22954,0.260498046875,0.33462920784950256,0.8026120662689209,0.8902162313461304
22955,0.393798828125,0.42354702949523926,0.8579513430595398,0.8799238801002502
22956,0.580322265625,0.6179019808769226,0.86592036485672,0.8716481328010559
22957,0.25390625,0.30991774797439575,0.5692896842956543,0.7633172273635864
22958,0.1106770858168602,0.1401899755001068,0.4437016248703003,0.5547974705696106
22959,0.0625,0.0625,0.4692787230014801,0.4692787230014801
22960,0.300537109375,0.35570409893989563,0.4636814594268799,0.5883564352989197
22961,0.9507649540901184,0.9553309679031372,0.8898733854293823,0.9286057949066162
22962,0.344482421875,0.4170822501182556,0.2789551615715027,0.6411194801330566
22963,0.946533203125,0.9471778869628906,1.0,0.8497637510299683
22964,0.940673828125,0.9475144147872925,0.7038999795913696,0.861900269985199
22965,0.146728515625,0.21580952405929565,0.48975956439971924,0.6996393203735352
22966,0.110107421875,0.1549457609653473,0.3333333134651184,0.40635398030281067
22967,0.263671875,0.263671875,1.0,1.0
22968,0.23828125,0.3200972378253937,0.7039180994033813,0.840003252029419
22969,0.197998046875,0.2817510664463043,0.6871474981307983,0.8910656571388245
22970,0.260498046875,0.30860841274261475,0.8026120662689209,0.7212367057800293
22971,0.110107421875,0.22146087884902954,0.22686867415905,0.6320013999938965
22972,0.110107421875,0.2005641609430313,0.3333333134651184,0.6763342022895813
22973,0.967041015625,0.9674898386001587,0.9284793138504028,0.9645490050315857
22974,0.304931640625,0.3720511496067047,1.0,0.9086769223213196
22975,0.967041015625,0.9674775004386902,0.9284793138504028,0.9467800259590149
22976,0.431884765625,0.4813806116580963,0.4763599932193756,0.6245018243789673
22977,0.228759765625,0.2507568895816803,1.0,0.9622206687927246
22978,0.278564453125,0.31900864839553833,0.5692896842956543,0.7038737535476685
22979,0.05078125,0.0599365234375,0.2737712264060974,0.3005252480506897
22980,0.531982421875,0.5669299364089966,0.7462155222892761,0.7636266350746155
22981,0.110107421875,0.13263797760009766,1.0,1.0
22982,0.1875,0.1875,1.0,1.0
22983,0.260498046875,0.3163521885871887,0.8026120662689209,0.8254230618476868
22984,0.2774251401424408,0.34008458256721497,0.8435737490653992,0.8464601039886475
22985,0.0625,0.15424227714538574,0.1854327917098999,0.6634063720703125
22986,0.9375,0.9397627115249634,0.8624263405799866,0.8379070162773132
22987,0.23828125,0.3006325960159302,0.7039180994033813,0.7302808165550232
22988,0.091796875,0.12014782428741455,0.7653606534004211,0.6913628578186035
22989,0.263671875,0.3689391613006592,0.4707868993282318,0.707722008228302
22990,0.0,0.0638020858168602,0.0,0.40704721212387085
22991,0.197998046875,0.2985861301422119,0.34009110927581787,0.7267639636993408
22992,0.956298828125,0.9582386016845703,1.0,0.9839513897895813
22993,0.228759765625,0.2918552756309509,0.6461858153343201,0.7570427656173706
22994,0.304931640625,0.35564449429512024,1.0,0.8100148439407349
22995,0.518798828125,0.5625479221343994,0.8046129941940308,0.7808754444122314
22996,0.659423828125,0.6628953218460083,0.6764605641365051,0.7779379487037659
22997,0.962158203125,0.9624271988868713,0.9625431895256042,0.9362946152687073
22998,0.946533203125,0.9506489038467407,1.0,0.9831202030181885
22999,0.9388020634651184,0.9454174041748047,0.8427215218544006,0.8703432679176331
23000,0.9444172978401184,0.9524921178817749,0.7589633464813232,0.9310527443885803
23001,0.962158203125,0.9626916646957397,0.8420895934104919,0.9135320782661438
23002,0.03125,0.10876142978668213,0.09869397431612015,0.4508261978626251
23003,0.560546875,0.560546875,0.8838695287704468,0.77457594871521
23004,0.943115234375,0.9496561884880066,0.819014847278595,0.9298223853111267
23005,0.943115234375,0.9510133266448975,0.6597968339920044,0.8291077017784119
23006,0.580322265625,0.61235111951828,0.86592036485672,0.8832744359970093
23007,0.659423828125,0.6627901196479797,0.8254533410072327,0.8634073138237
23008,0.304931640625,0.37532487511634827,1.0,0.9558305144309998
23009,0.2774251401424408,0.36474141478538513,0.5188971757888794,0.715788722038269
23010,0.110107421875,0.110107421875,1.0,1.0
23011,0.580322265625,0.6158729195594788,0.86592036485672,0.8884209394454956
23012,0.304931640625,0.3300743103027344,1.0,0.9520727396011353
23013,0.05078125,0.2028338462114334,0.08755692839622498,0.5423328280448914
23014,0.2044270783662796,0.3164111375808716,0.3367719352245331,0.5635330677032471
23015,0.05078125,0.08717852085828781,0.5307212471961975,0.6582449078559875
23016,0.0,0.05916339159011841,0.0,0.5309999585151672
23017,0.956298828125,0.9600582122802734,1.0,0.9894909262657166
23018,0.091796875,0.1678970754146576,0.255120187997818,0.5606136918067932
